;cod_loja;faturamento
154;1109;26014.075214590994
155;1114;25674.880931088388
156;1124;26600.932433515558
157;1126;23297.41701992527
158;1145;26300.54643873755
159;1148;26258.522333227862
160;1151;29078.1461842962
161;1153;22789.288704509658
162;1156;17432.998169728566
163;1164;31214.561305425133
164;1173;26569.52404686142
165;1175;28662.602609411944
166;1180;33174.70444023834
167;1186;26300.54643873755
168;1196;26366.531350050336
169;1199;22632.409149139152
170;1208;26024.21957386594
171;1213;34091.89644580628
172;1226;26527.499941351736
173;1234;25213.134783783895
174;1246;29097.839044107437
175;1247;17459.221214689445
176;1254;25415.031090617165
177;1267;25789.375502407867
178;1274;29097.839044107437
179;1279;31955.247575329173
180;1283;24220.729555393402
181;1287;30649.406991335578
182;1292;27948.62542576009
183;1298;24029.384993994165
184;1308;16786.68338264594
185;1314;24094.972664702665
186;1317;23004.02432391992
187;1321;23541.815878422392
188;1322;34410.07387449517
189;1334;26078.906915258136
190;1335;23752.56256441497
191;1359;25313.138666153132
192;1360;23810.79348654626
193;1361;22387.457685319536
194;1374;26261.934194514277
195;1382;29097.839044107437
196;1384;26569.52404686142
197;1385;26968.06152890771
198;1390;23630.458073987
199;1396;27319.860600891436
200;1398;26258.522333227862
201;1403;28196.134366806742
202;1415;29024.681927588055
203;1418;23541.815878422392
204;1419;22494.509638460557
205;1421;28800.595341724314
206;1422;22960.613799957337
207;1447;27219.49784657447
208;1448;33777.44778753517
209;1452;25522.3994503348
210;1460;22689.08915326881
211;1461;31249.517754012286
212;1462;23731.028823227483
213;1485;22466.701238550795
214;1499;26666.226851788328
215;1500;30820.521267147422
216;1502;33195.348353656445
217;1503;26527.499941351736
218;1507;23655.045475637868
219;1510;24385.74110944448
220;1518;22436.695470891846
221;1523;24003.50585546784
222;1524;28589.445492892562
223;1527;24574.45292055391
224;1531;26294.028384040244
225;1551;29510.023108777335
226;1563;24554.584239643722
227;1568;24094.972664702665
228;1569;23506.505328416442
229;1570;22912.830566839297
230;1574;22946.804728837844
231;1580;24207.29089646939
232;1595;23752.56256441497
233;1598;26502.139662403417
234;1602;28716.06686612009
235;1605;32457.911796146287
236;1613;26569.52404686142
237;1623;30640.87950532588
238;1624;29224.65679755336
239;1626;30030.68545052787
240;1632;23329.95447185107
241;1667;23919.778184774335
242;1669;22961.269315458314
243;1674;29890.999440868938
244;1685;23679.130072251148
245;1686;21908.290151074983
246;1696;28171.241068049036
247;1708;23679.130072251148
248;1724;25516.51304461568
249;1732;24452.020493813605
250;1734;27398.872404350677
251;1743;33938.03125077895
252;1752;23706.213328009002
253;1754;22432.01599162799
254;1757;23441.900155626106
255;1760;25302.166744313912
256;1768;29171.27153627126
257;1774;22758.962594919252
258;1787;25502.33866928448
259;1788;24431.17214094041
260;1789;22533.395378063455
261;1794;25991.008720559155
262;1795;29097.839044107437
263;1799;23916.32321496804
264;1808;26217.85635485518
265;1809;32125.552989851112
266;1811;23753.527622887217
267;1819;28969.827595123585
268;1824;28887.805394895895
269;1835;24728.15120973218
270;1842;22969.838069432742
271;1843;23574.114009481873
272;1851;24184.660298870745
273;1853;28204.37336013117
274;1858;23775.663629878843
275;1861;23234.774993065133
276;1862;24211.103191130558
277;1863;33076.952787575494
278;1869;31390.0676750439
279;1872;18794.715036463174
280;1874;28280.668113183317
281;1882;26313.20967462006
282;1885;24158.704088942963
283;1890;29720.05675798887
284;1896;23115.323991176258
285;1899;26834.324673395353
286;1901;27378.904168895
287;1918;22640.44576711961
288;1919;24018.731123933107
289;1927;34065.791512095406
290;1930;25214.664198809056
291;1933;23679.130072251148
292;1944;23508.146809187783
293;1949;27661.639922860268
294;1982;22689.66117224295
295;1984;28462.684134222553
296;1986;23823.96722815004
297;1990;32581.93087410456
298;1992;33460.69412981243
299;2009;25410.124136593677
300;2015;23785.37384041335
301;2018;26487.538394079627
302;2020;28567.66125272461
303;2028;23298.454370316755
304;2040;23968.003081216306
305;2046;32441.668827310717
306;2050;25548.700102969156
307;2066;22928.722664561337
308;2068;24554.584239643722
309;2070;18119.494718373542
310;2072;25878.166267300006
311;2074;24137.670698966733
312;2091;24375.23598768211
313;2096;22789.288704509658
314;2111;26108.021558475542
315;2116;25548.700102969156
316;2120;17467.889720485924
317;2121;33060.359019485804
318;2128;25772.201001849528
319;2132;22868.076081668238
320;2136;22833.699381033806
321;2139;31249.82479502947
322;2152;23859.06005110805
323;2153;25243.347021720754
324;2163;23867.128140589903
325;2165;22390.748869503244
326;2166;23927.623006229656
327;2171;22766.576467518767
328;2173;25181.282452179013
329;2177;27769.833901372083
330;2181;27810.243439734102
331;2193;27398.872404350677
332;2195;27626.88981303143
333;2201;24009.353887552392
334;2207;27966.638116772672
335;2223;24994.44437602269
336;2236;29614.34719852014
337;2240;26721.841153441546
338;2241;26477.672478072982
339;2250;22428.975194377657
340;2262;25837.677455821275
341;2277;27498.90236268545
342;2283;23810.79348654626
343;2284;22624.581020233338
344;2294;27426.100173433675
345;2296;23174.93229053901
346;2306;31924.423306597644
347;2321;25659.18107866503
348;2334;23625.592980928614
349;2337;23884.225978710085
350;2341;22870.59952339412
351;2347;23648.04589168717
352;2367;25011.78207039363
353;2368;25955.843167552222
354;2376;31370.586314388296
355;2379;27202.856360800153
356;2380;22928.722664561337
357;2382;22692.89358842158
358;2386;25488.46358278099
359;2388;24982.37165427335
360;2390;32272.665176814487
361;2403;33113.33899442646
362;2410;28780.29746884319
363;2416;32074.60455889367
364;2420;25075.388528281634
365;2423;25363.204332857626
366;2426;26093.666079825773
367;2436;25812.08522770125
368;2451;24329.677716146867
369;2452;23276.713416460912
370;2454;23934.210038276073
371;2461;25740.606392890037
372;2463;25659.18107866503
373;2464;27150.19300860774
374;2469;33239.7572761047
375;3390;30118.221858838162
376;2481;22868.0880683499
377;2487;23401.546642252757
378;2488;22644.037510843376
379;2494;30770.73032683053
380;2504;29840.642469049933
381;2513;23855.683863907376
382;2527;24171.842264975607
383;2535;29765.17284459664
384;2537;23004.02432391992
385;2543;26225.311479921074
386;2550;25186.33470320837
387;2562;27767.22663064368
388;2564;24364.834656843996
389;2579;22644.037510843376
390;2580;24693.964955245
391;2585;23224.021254125953
392;2594;28530.157305312958
393;2596;26114.805099779504
394;2604;24733.745927397325
395;2613;24137.670698966733
396;2637;25652.844261011003
397;2646;26569.52404686142
398;2649;23868.69309084286
399;2650;24766.7025784113
400;2651;28479.65942606588
401;2652;24148.674684555637
402;2655;27948.62542576009
403;2665;24640.82107546941
404;2667;23884.225978710085
405;2673;27582.305279547567
406;2688;23045.82141702236
407;2689;23534.46300950783
408;2700;28133.055587813942
409;2702;16762.61991591564
410;2704;24693.814990545754
411;2705;32074.60455889367
412;2708;24457.808117930897
413;2724;30199.429593947778
414;2730;23468.383386258567
415;2733;33391.834373014855
416;2741;26968.06152890771
417;2745;24428.523278942153
418;2746;24428.523278942153
419;2748;26225.311479921074
420;2752;24538.840682744034
421;2755;25548.700102969156
422;2757;24061.340632244162
423;2761;29776.746807603085
424;2763;25331.677168271526
425;2774;28124.225033210696
426;2779;23022.951541972157
427;2792;16842.274214527002
428;2801;22902.262336155414
429;2815;26185.089841064033
430;2822;23910.882942972527
431;2828;22815.272684367308
432;2840;23498.372672593152
433;2847;26634.308148912987
434;2855;28002.32744561306
435;2860;24489.075028138916
436;2867;31150.149162444795
437;2877;22253.780714449324
438;2889;19723.281789977947
439;2894;26205.80592991403
440;2910;29720.05675798887
441;2929;33550.835711342894
442;2932;22917.277564635
443;2934;23019.105154098113
444;2945;22878.64431235212
445;2950;23188.96448651636
446;2954;22919.472222355875
447;2958;31039.369397791168
448;2966;26232.242046201256
449;2976;22928.722664561337
450;2984;23084.618572400133
451;2992;23743.25559156875
452;3004;31312.241598385102
453;3008;22722.79911873709
454;3033;23004.02432391992
455;3054;23810.79348654626
456;3057;22996.89585347036
457;3069;26760.819323287767
458;3082;27838.82913713463
459;3086;24298.410975181712
460;3096;26116.851930346045
461;3098;29904.806676081782
462;3103;25563.854199245012
463;3109;23934.210038276073
464;3114;23510.647548820743
465;3115;31946.262666405368
466;3121;24355.774296450414
467;3138;24568.151020241497
468;3156;26517.566005177632
469;3164;30854.428838447766
470;3168;29176.168269314094
471;3169;29346.781232944522
472;3182;24430.142492436524
473;3186;23312.84111561165
474;3197;29086.735892360055
475;3199;26655.61977490776
476;3200;26655.61977490776
477;3206;23795.260598679037
478;3208;23859.06005110805
479;3213;22439.834037867127
480;3236;23658.417995507385
481;3243;29384.08235204057
482;3251;24563.139655681098
483;3252;22826.508148999805
484;3261;23497.62533232665
485;3263;33528.018472119205
486;3274;23595.339438245468
487;3284;17432.998169728566
488;3285;23679.130072251148
489;3287;27129.12604612297
490;3294;31560.1045083805
491;3301;26078.906915258136
492;3307;27840.143646197914
493;3310;23798.261796024384
494;3316;22954.01193561268
495;3323;26419.01816178956
496;3326;25073.831667304654
497;3340;34558.80024305432
498;3344;24264.54243835008
499;3353;31560.1045083805
500;3359;23667.793044383576
501;3367;24021.54017253884
502;3368;24546.020737724528
503;3371;27799.412523789026
504;3383;22612.43907051305
505;3389;23368.467663462285
506;3394;22303.9457810798
507;3396;22881.315065015246
508;3406;26171.57569431803
509;3415;23301.282718283073
510;3416;22802.711678986267
511;3426;22612.43907051305
512;3432;22680.751638701287
513;3433;22680.751638701287
514;3436;29344.35815257559
515;3450;26004.659078637003
516;3457;24970.19882290712
517;3464;33949.30436477592
518;3472;23937.576575802203
519;3475;25277.01666299547
520;3478;27613.888460434137
521;3480;26004.659078637003
522;3484;31793.84411537459
523;3493;22533.395378063455
524;3512;22803.06319049837
525;3533;22727.079842908755
526;3539;22423.71540800243
527;3549;26312.178440883803
528;3552;27948.62542576009
529;3557;27170.70956128441
530;3559;27509.538011552253
531;3565;22803.06319049837
532;3566;22803.06319049837
533;3568;22803.06319049837
534;3592;23235.53745818652
535;3593;23209.308991173442
536;3598;23192.5206490961
537;3599;23192.5206490961
538;3605;22624.581020233338
539;3608;22658.957720867762
540;3617;28011.15104277076
541;3621;27719.802792302515
542;3626;31755.430106064294
543;3627;24554.584239643722
544;3636;22891.971601468176
545;3644;23174.93229053901
546;3650;22533.395378063455
547;3661;16824.44364967012
548;3667;23200.588738577953
549;3672;33703.77838849132
550;3674;23954.620295899786
551;3675;26569.52404686142
552;3684;33239.964667350796
